"GEOID","NAME","location","year_built.x","number_of_bathrooms.x","number_of_bedrooms.x","total_livable_area.x","sale_price.x","log_sale_price.x","BACH_PROP","WHITE_PROP","Pov_Prop","Vacancy_Rate","MEDHHINCE","near_transit","Dist_Homicide","Dist_BurgRob","Dist_Comcor","parks_400","parks_800","dist_centercity","redlining_grade","industrial_knn31","Name","crime_score","vacant_and_BurgRob","distcentercity_transit","education_and_pov"
"421010103001","Block Group 1; Census Tract 103; Philadelphia County; Pennsylvania","5153 HOOPES ST",1925,1,3,1180,180000,12.1007121298723,7.95228628230616,0,43.4393638170974,26.5498652291105,23490,0,1534.78788568145,383.532836300928,1082.5383713772,1,4,17762.4492873533,"4",1179.52974989864,"Mill Creek",569,10182.7451147281,0,345.44225699481
"421010274021","Block Group 1; Census Tract 274.02; Philadelphia County; Pennsylvania","6062 N PHILIP ST",1953,1,3,990,84000,11.3385720778255,0,0,0,0,81438,1,3011.47261130547,793.591821261543,1497.04031205439,1,3,34869.7279406138,"1",1393.79902698027,"Olney",165,0,34869.7279406138,0
"421010242001","Block Group 1; Census Tract 242; Philadelphia County; Pennsylvania","145 W QUEEN LN",1790,2,4,2346,36000,10.4912742174382,16.8646080760095,33.4916864608076,16.8646080760095,3.84615384615385,54595,1,1792.14055755454,679.219776780124,843.064249977338,1,6,28019.4792598245,"3",352.843413910856,"Germantown, Penn Knox",410,2612.38375684663,28019.4792598245,284.415005557405
"421010030022","Block Group 2; Census Tract 30.02; Philadelphia County; Pennsylvania","1620 REED ST",2019,3,4,2160,655000,13.3923905146174,24.7557003257329,28.7730727470141,18.7839305103149,8.1145584725537,53313,0,2317.89301448288,795.267898118894,1096.14546736935,0,6,7356.56027409166,"4",1118.56795016261,"Point Breeze",38,6453.24786063065,0,465.009354652747
"421010197006","Block Group 6; Census Tract 197; Philadelphia County; Pennsylvania","4257 N DARIEN ST",1940,1,3,1038,50000,10.8197782844103,6.81818181818182,0,72.7272727272727,0,30439,0,1656.06951906002,221.914627051429,2038.43081226648,2,3,24405.9410921585,"3",600.512395326462,"Hunting Park",167,0,0,495.867768595041
"421010330005","Block Group 5; Census Tract 330; Philadelphia County; Pennsylvania","4616 VISTA ST",1950,1,3,1260,95000,11.4616321705827,0,65.5681818181818,3.18181818181818,0,52237,0,2706.10632125598,575.251240279771,2087.89971467986,1,4,47075.6872412453,"2",937.527670915879,"Holmesburg",253,0,0,0
"421010244003","Block Group 3; Census Tract 244; Philadelphia County; Pennsylvania","19 W ROCKLAND ST",1920,2,4,1844,30000,10.3089526606443,20.6322795341098,3.16139767054908,16.8053244592346,16.6666666666667,98484,0,2019.51461166636,695.683991854188,488.326627622989,1,9,27308.879821398,"3",486.345225765234,"Germantown, Southwest",329,11594.7331975698,0,346.732151904341
"421010275002","Block Group 2; Census Tract 275; Philadelphia County; Pennsylvania","5849 N MARSHALL ST",1945,1,3,1092,20000,9.90348755253613,12.7326880119136,4.3186895011169,13.626209977662,5,60911,0,1436.60195584499,1030.73394069335,1418.89984908087,2,2,33409.1263692397,"1",697.992726982486,"Olney",232,5153.66970346674,0,173.498280430394
"421010300004","Block Group 4; Census Tract 300; Philadelphia County; Pennsylvania","5208 DUFFIELD ST",1945,1,3,1324,23000,10.0432494949113,1.24851367419738,0,34.7800237812128,16.5680473372781,28542,1,867.38302527945,684.005024971058,1629.72331531794,0,3,35107.5858333123,"3",289.806663521642,"Frankford",363,11332.6276326566,35107.5858333123,43.4233352797542
"421010041011","Block Group 1; Census Tract 41.01; Philadelphia County; Pennsylvania","616 HOFFMAN ST",1925,1,3,900,90000,11.4075649493124,6.07476635514019,30.2570093457944,0,6.75675675675676,93393,0,1667.1221336433,364.019285925128,928.540518774076,3,7,10375.6554573168,"4",471.913023601718,"Greenwich",274,2459.58976976438,0,0
"421010287001","Block Group 1; Census Tract 287; Philadelphia County; Pennsylvania","413 W COURTLAND ST",1940,1,3,976,20000,9.90348755253613,3.07548928238583,0.698974836905871,47.1575023299161,4.84848484848485,43200,0,2212.30310000416,620.827264734337,1128.49649223106,0,1,26484.3567748356,"2",102.137540446799,"Feltonville",918,3010.07158659072,0,145.032392999742
"421010179005","Block Group 5; Census Tract 179; Philadelphia County; Pennsylvania","2106 E CAMBRIA ST",1920,2,3,1190,76000,11.2384886192685,16.4315352697095,52.5311203319502,20.746887966805,21.5552523874488,85741,0,1790.73591760177,828.413955398486,1292.58461067048,1,5,18592.0800650252,"4",475.718716258053,"Richmond",339,17856.6718898991,0,340.903221363268
"421010273004","Block Group 4; Census Tract 273; Philadelphia County; Pennsylvania","111 W GRANGE AVE",1945,1,3,1334,106100,11.5721373246021,0,4.5477513895907,5.65942395149065,0,49416,1,3068.44104914109,808.021351057831,1527.41391893331,2,4,33572.3986995405,"1",1506.5238165473,"Olney",76,0,33572.3986995405,0
"421010282002","Block Group 2; Census Tract 282; Philadelphia County; Pennsylvania","958 WAGNER AVE",1940,1,3,1278,40000,10.5966347330961,3.64864864864865,4.72972972972973,55.2702702702703,0,12044,0,1505.04043047552,1044.7955631357,1780.306695451,1,4,31056.6343291601,"2",555.039776232252,"Olney",248,0,0,201.661796932067
"421010199004","Block Group 4; Census Tract 199; Philadelphia County; Pennsylvania","1129 W WESTMORELAND ST",1935,1,0,1120,40000,10.5966347330961,8.7737843551797,0,18.2875264270613,8.18414322250639,81593,0,960.794905042604,600.141611630621,971.35820383842,0,3,18823.9701197904,"3",176.444622115329,"Franklinville",527,4911.64490337081,0,160.450813260686
"421010302001","Block Group 1; Census Tract 302; Philadelphia County; Pennsylvania","1537 DYRE ST",1915,1,3,1344,41000,10.6213273456864,8.07635829662261,27.6064610866373,14.5374449339207,14.5413870246085,35524,1,572.462406205981,460.936843362771,1137.3238033154,1,2,34555.1331258822,"3",739.803174463646,"Frankford",824,6702.6610332394,34555.1331258822,117.409614003765
"421010356012","Block Group 2; Census Tract 356.01; Philadelphia County; Pennsylvania","1110 NORWALK RD",1961,2,3,1845,50000,10.8197782844103,34.6938775510204,77.0800627943485,11.6169544740973,0,108977,0,7753.4518411875,5588.20530870209,2649.26287297952,0,1,63845.2011851209,"0",2299.52142009994,"Bustleton",87,0,0,403.03719604011
"421010176012","Block Group 2; Census Tract 176.01; Philadelphia County; Pennsylvania","2835 N 5TH ST",1920,1,3,1060,47000,10.7579028806922,4.06189555125725,4.90006447453256,49.3230174081238,17.1974522292994,20269,0,1694.62538163948,732.793059757585,654.617648408896,1,5,16717.5124436819,"4",350.482283887309,"Fairhill",327,12602.1736391432,0,200.344944984642
"421010158006","Block Group 6; Census Tract 158; Philadelphia County; Pennsylvania","1355 E MONTGOMERY AVE",1925,1,4,2292,399000,12.896716695872,51.5856236786469,75.8985200845666,5.28541226215645,0,117556,1,3210.88078192037,1720.1386382929,1195.61995106443,3,8,12738.1980057262,"4",608.207684554437,"Fishtown - Lower Kensington",52,0,12738.1980057262,272.651287942108
"421010191003","Block Group 3; Census Tract 191; Philadelphia County; Pennsylvania","4040 K ST",1925,1,3,1440,185000,12.1281111040605,1.04529616724739,4.43006470881035,40.5674464907914,0,48224,0,1627.34189161229,677.068771027297,1397.88269428701,0,5,26405.0684346966,"2",1049.43430881905,"Juniata Park",244,0,0,42.4049963318378
"421010356012","Block Group 2; Census Tract 356.01; Philadelphia County; Pennsylvania","9953 VERREE RD",1955,2,3,1714,480000,13.0815413828841,34.6938775510204,77.0800627943485,11.6169544740973,0,108977,0,8700.51385772482,4675.36021090012,1919.33469355487,1,1,65025.2635535135,"0",1883.96742209882,"Bustleton",87,0,0,403.03719604011
"421010255001","Block Group 1; Census Tract 255; Philadelphia County; Pennsylvania","226 E DURHAM ST",1915,2,4,1760,410000,12.9239124386805,18.889970788705,79.649464459591,3.99221032132425,0,111250,0,6005.68950760093,1790.89189945328,1638.87475413273,1,2,40334.8170559271,"1",1718.9828899722,"Mount Airy, East",52,0,0,75.4127363521817
"421010066003","Block Group 3; Census Tract 66; Philadelphia County; Pennsylvania","2111 S SIMPSON ST",1920,1,3,1200,130000,11.7752897294377,1.74603174603175,2.06349206349206,50.0793650793651,15.3846153846154,23486,1,695.111040853659,730.234290501958,1945.21925165973,1,3,21845.4710791548,"4",510.001179200638,"Paschall",277,11234.3737000301,21845.4710791548,87.4401612496853
"421010279013","Block Group 3; Census Tract 279.01; Philadelphia County; Pennsylvania","6113 N BEECHWOOD ST",1920,1,2,830,70000,11.1562505210315,0,0,40.7563025210084,22.189349112426,26238,1,1402.17998193404,682.504338449043,1472.30013256054,1,4,34758.7542144541,"3",238.322416121476,"Ogontz",133,15144.3270365912,34758.7542144541,0
"421010201024","Block Group 4; Census Tract 201.02; Philadelphia County; Pennsylvania","3850 N 16TH ST",1930,2,4,1442,230000,12.3458345879053,9.92462311557789,0,17.0854271356784,16.7372881355932,41412,0,1293.12035019237,684.293444743475,881.4896782507,0,2,21992.2896785531,"4",625.275729464181,"Tioga",271,11453.2165539692,0,169.566425090276
"421010055003","Block Group 3; Census Tract 55; Philadelphia County; Pennsylvania","8129 BUIST AVE",1965,1,3,1360,230000,12.3458345879053,23.8129496402878,0.503597122302158,6.97841726618705,0,110536,0,7516.42413677927,2969.38683392844,4124.27594974885,1,2,30913.4649380013,"4",1869.19477632839,"Eastwick",322,0,0,166.176698928627
"421010382001","Block Group 1; Census Tract 382; Philadelphia County; Pennsylvania","3475 AMBER ST",1888,1,3,1016,90000,11.4075649493124,2.44590780809031,49.8588899341486,2.91627469426152,11.3502935420744,43273,0,1859.389269846,437.717821292322,1445.36002180038,0,4,23165.4679007811,"4",137.848188269976,"Harrowgate",644,4968.22576026512,0,7.13293904523043
"421010081012","Block Group 2; Census Tract 81.01; Philadelphia County; Pennsylvania","821 S ALDEN ST",1925,1,3,972,79600,11.2847693718325,8.27027027027027,6.10810810810811,35.5135135135135,10.6285714285714,50264,1,897.367694411743,1065.584804709,642.023019558006,2,5,20811.9201517256,"3",1163.24047466954,"Cobbs Creek",200,11325.6442100499,20811.9201517256,293.706355003652
